Review
To slow
"Me encanta YouTube porque escucho  la música qué yo  quiero  sobre todo instrumental y videos de una hermosa naturaleza , me relajo , recreo mis ojos y deleito mis oídos .  Gracias. 🙏🏽🙏🏽❤️❤️"
"""Something went wrong, Tap to retry"" keeps popping up. Cant watch anything"
what’s up youtube
Bring back dislike
Esto es lo más
STOP MAKING THE ADS TURN MY SCREEN VERTICAL
"First off, Youtube has gone downhill for several years now. Every update is just a UI change that is completely unnecessary. Why? There is seriously no point to it. The recent update has videos take up the entire screen. It's an eyesore. Also, what's with all the ads? They're EVERYWHERE. I'm waiting for the day someone develops a site that completely kills Youtube."
"I remember when this app was PERFECT or at least USABLE. Yes, we had ads. BUT THEY WEREN’T ANNOYING AND CONSTANT. Now every time I open YouTube, it’s just a plague of ads and interruptions. Ads in the search. Ads before videos. Ads every few minutes DURING videos. And now I’m even getting ads WHILE MY VIDEO IS PAUSED?? Let that sink in. I can’t even pause in peace without being bombarded. It completely ruins the experience. You can’t relax, you can’t focus, and you definitely can’t enjoy anything without being interrupted over and over again. It feels less like a video platform and more like an ad platform with videos squeezed in between. And can we talk about how aggressively YouTube pushes Premium?? Every other second it’s “subscribe to Premium” like NO. Maybe fix the app instead of making the free version unbearable just to force people into paying. This is a HUGE downgrade. The app used to feel smooth, enjoyable, and actually user-focused. Now it just feels greedy, cluttered, and exhausting to use. Makes me want to switch platforms like genuinely do better."
Noice
I don’t know when YouTube decided to go the route of recipe websites but the overlay/ banner ads and now Picture in Picture style good hell you are becoming unhinged
"You can’t manually sort videos in playlists anymore. The option is there however when it’s selected, the videos can’t be selected in order to move them."
It’s just so good everything about it I love it. Thank you YouTube for making a app where you can express yourself
La uso todos los días desde que tengo memoria y es esencial para mi
I enjoy YouTube because no matter what the mood…the music that made that mood is here…
YouTube needs to do better about long ads. If someone needs to run an advertisement for over 3min then it should be a short or video. Myself like others will not pay for ad removal. We rather pay a small site where free speech can be exercised.
Lovey too many adds it need to be like start middle and end I feel like but it’s ok I guess
YouTube have become more for advertisement than what you really wanted  unless you pay you’re gonna watch more ads than what you get. This is the new world for YouTube similar to Google. The good news is I have figured out how to get around the advertising.
Mal
"YouTube you got some funny, intelligent, crazy, kind of fun people on here"
I rated it 5 stars because I love it and there is EVERYTHING you could possibly want on there.🩵
good stuff man
I liked to make a YouTube channel and I need one more person to subscribe to me so I can get 200 subscribers
"There seems to be a glitch shortly after a livestream finishes and it’s saved. Anytime I to try to fast forward or scrub in the saved livestream, it automatically jumps to the very end of the stream, and the video immediately ends. It’s been doing this across several streams I’ve watched."
The premium perks are A1. I use YouTube so often that YouTube premium is almost a nonnegotiable when it comes to canceling subscriptions
بسبب الإعلانات برامج سيء
Yall abunch of snowflakes
"Antes lo usaba mucho y era muy bueno, desde que cambié de celular los anuncios son insoportables, hasta 7 anuncios sin exagerar en un video de 24 minutos, de verdad que es agobiante cada 5 minutos o menos sale un anuncio"
They need to ban bad and rude creators.other then that their good!
I try to change my name but it’s not working and my filter to my notifications is not working
"It’s good,the videos are good but,there’s some inappropriate content and bad content that’s not made for kids and even adults and teenagers when kids watch it they might see bad videos that are not made for them but,there’s also videos that teach you facts about things,be careful YouTube is full of inappropriate,fake,mean and stupid content"
Alvin Tee
Do you like an ever increasing number of unskippable ads? How about brain dead shorts clogging up your feed? How about not being able to remove members only content ? Or maybe needing to verify your age to watch a video that contains absolutely no mature content? If those sound terrible then you should join everyone else in telling google to “eff” off!
Every single time I search for something very specific it’s not even on the first round of videos that youtube decides that fit the search.
"I love YouTube, I personally think it’s amazing for good music quality and almost no ads!"
"I used to love YouTube and thought the scroll was comparable to Old TikTok (RIP). I see the same 6 or 7 videos all the time—often multiple times in an hour, now. The content is mostly AI Slop, ads, ads for AI slop, and more ads. It’s infuriating. 

I walked away from years of Premium use, not because it was so expensive, but because I still had to be advertised to. It was the single most expensive platform I had and twice as much or more than any other platform. 

And now, it’s the same videos over and over again. 

Don’t bother with this app. There’s better."
10/10 use it almost everyday
"I founded really good music 
YouTube is the best"
"how to do invisible comment????
︎
︎
︎
︎
︎"
I am proud to be part of the YouTube family I have been for several years now and I’m hoping to become one of the more known creators! Thank you YouTube for giving me a platform and helping to support my dreams
Can’t go five min without an add
How are you guys justifying sending out ads that are literally just softcore porn and AI like its really not hard to see any of this on this platform man
"@youtube , yes hi your app will not allow us to share, copy link, download, or hype any videos this has been going on for several months now, please fix the problem-DROPSHIP CAPTAIN"
FOR THE PAST YEAR PLUS MY SHORTS FEET HAS BEEN NOTHING BUT FOREIGN CONTENT THAT I DON'T EVEN UNDERSTAND AND ALL I EVER GET IN MY MAIN STREAM IS EITHER VIDEOS FROM THE PAST OR PAGES I DON'T FOLLOW. WHOEVER RUNS AND OWNS THIS APP IS MAKING THESE ALGORITHM PROGRAMMING DECISIONS TO TRIGGER PEOPLE- IT'S AS SIMPLE AS THAT. A bunch of clammy rats!!!!!
Kids and Family Channel Network Studios All Star Heroes Unite
I love you too more than everything else
You can find absolutely anything and everything here can’t go wrong with YouTube
100
Full f D OK oh
You tube good
